ID,age,value
2.1.2,5-14,17
2.1.2,15-49,4499
2.1.2,50-69,12825
2.1.2,70+,7506
2.1.3,<5,0
2.1.3,5-14,45
2.1.3,15-49,4482
2.1.3,50-69,11472
2.1.3,70+,7114
2.1.4,<5,0
2.1.4,5-14,34
2.1.4,15-49,8465
2.1.4,50-69,16833
2.1.4,70+,11623
2.1.5.1,<5,0
2.1.5.1,5-14,244
2.1.5.1,15-49,9635
2.1.5.1,50-69,8854
2.1.5.1,70+,2988
2.1.5.2,<5,0
2.1.5.2,5-14,31
2.1.5.2,15-49,657
2.1.5.2,50-69,2469
2.1.5.2,70+,1911
2.1.5.3,<5,0
2.1.5.3,5-14,36
2.1.5.3,15-49,1259
2.1.5.3,50-69,3402
2.1.5.3,70+,1829
2.1.5.4,<5,0
2.1.5.4,5-14,87
2.1.5.4,15-49,1778
2.1.5.4,50-69,2803
2.1.5.4,70+,1820
2.1.6,<5,0
2.1.6,5-14,1
2.1.6,15-49,1773
2.1.6,50-69,6294
2.1.6,70+,4307
2.1.7,<5,0
2.1.7,5-14,10
2.1.7,15-49,3249
2.1.7,50-69,14149
2.1.7,70+,8617
2.1.8.1,<5,0
2.1.8.1,5-14,33
2.1.8.1,15-49,373
2.1.8.1,50-69,1045
2.1.8.1,70+,1185
2.1.8.2,<5,0
2.1.8.2,5-14,237
2.1.8.2,15-49,912
2.1.8.2,50-69,3859
2.1.8.2,70+,2284
2.1.9,<5,0
2.1.9,5-14,21
2.1.9,15-49,29255
2.1.9,50-69,33049
2.1.9,70+,11557
2.1.10,<5,0
2.1.10,5-14,10
2.1.10,15-49,25314
2.1.10,50-69,37784
2.1.10,70+,14299
2.1.11,<5,0
2.1.11,5-14,0
2.1.11,15-49,230
2.1.11,50-69,2003
2.1.11,70+,1510
2.1.12,<5,0
2.1.12,5-14,191
2.1.12,15-49,3537
2.1.12,50-69,7465
2.1.12,70+,2824
2.1.13,<5,0
2.1.13,5-14,0
2.1.13,15-49,941
2.1.13,50-69,18201
2.1.13,70+,30088
2.1.14,<5,0
2.1.14,5-14,49
2.1.14,15-49,421
2.1.14,50-69,412
2.1.14,70+,71
2.1.15,<5,1615
2.1.15,5-14,1310
2.1.15,15-49,1492
2.1.15,50-69,2619
2.1.15,70+,1432
2.1.16,<5,0
2.1.16,5-14,79
2.1.16,15-49,1461
2.1.16,50-69,4333
2.1.16,70+,4516
2.1.17,<5,620
2.1.17,5-14,1097
2.1.17,15-49,3125
2.1.17,50-69,3511
2.1.17,70+,1414
2.1.18,<5,0
2.1.18,5-14,2
2.1.18,15-49,377
2.1.18,50-69,1351
2.1.18,70+,976
2.1.19,<5,0
2.1.19,5-14,28
2.1.19,15-49,540
2.1.19,50-69,2384
2.1.19,70+,1342
2.1.20,<5,0
2.1.20,5-14,67
2.1.20,15-49,430
2.1.20,50-69,1780
2.1.20,70+,1262
2.1.21,<5,0
2.1.21,5-14,0
2.1.21,15-49,131
2.1.21,50-69,294
2.1.21,70+,239
2.1.22.1,<5,75
2.1.22.1,5-14,516
2.1.22.1,15-49,1623
2.1.22.1,50-69,786
2.1.22.1,70+,513
